InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536809,84950,ASSORTED COLOUR T-LIGHT HOLDER,1824,2010-12-02 16:48:00,0.55,15299.0,United Kingdom
536830,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2880,2010-12-02 17:38:00,0.18,16754.0,United Kingdom
536830,21915,RED  HARMONICA IN BOX ,1400,2010-12-02 17:38:00,1.06,16754.0,United Kingdom
536890,17084R,ASSORTED INCENSE PACK,1440,2010-12-03 11:48:00,0.16,14156.0,EIRE
537659,22189,CREAM HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102.0,United Kingdom
537659,22188,BLACK HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102.0,United Kingdom
537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,2010-12-09 10:44:00,2.55,12755.0,Japan
537981,22492,MINI PAINT SET VINTAGE ,1394,2010-12-09 11:35:00,0.55,17857.0,United Kingdom
538420,17096,ASSORTED LAQUERED INCENSE HOLDERS,1728,2010-12-12 12:03:00,0.17,12875.0,United Kingdom
539101,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,2010-12-16 10:35:00,0.94,16029.0,United Kingdom
539721,22616,PACK OF 12 LONDON TISSUES ,1296,2010-12-21 13:34:00,0.25,17306.0,United Kingdom
540689,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1010,2011-01-11 08:43:00,3.24,17450.0,United Kingdom
540689,22469,HEART OF WICKER SMALL,1356,2011-01-11 08:43:00,1.93,17450.0,United Kingdom
540689,22470,HEART OF WICKER LARGE,1284,2011-01-11 08:43:00,3.21,17450.0,United Kingdom
540815,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-01-11 12:55:00,2.55,15749.0,United Kingdom
540815,21175,GIN + TONIC DIET METAL SIGN,2000,2011-01-11 12:55:00,1.85,15749.0,United Kingdom
540815,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-01-11 12:55:00,2.1,15749.0,United Kingdom
540818,47556B,TEA TIME TEA TOWELS ,1300,2011-01-11 12:57:00,2.55,15749.0,United Kingdom
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,2011-01-18 10:01:00,1.04,12346.0,United Kingdom
541570,21212,PACK OF 72 RETROSPOT CAKE CASES,1440,2011-01-19 12:34:00,0.42,14646.0,Netherlands
542504,37413,,5568,2011-01-28 12:03:00,0.0,,United Kingdom
542505,79063D,,2560,2011-01-28 12:04:00,0.0,,United Kingdom
543057,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2592,2011-02-03 10:50:00,0.21,16333.0,United Kingdom
543192,15036,ASSORTED COLOURS SILK FAN,1200,2011-02-04 11:55:00,0.65,17381.0,United Kingdom
543258,84611B,,1287,2011-02-04 16:06:00,0.0,,United Kingdom
543549,21982,PACK OF 12 SUKI TISSUES ,1296,2011-02-10 09:29:00,0.22,17940.0,United Kingdom
543549,21986,PACK OF 12 PINK POLKADOT TISSUES,1296,2011-02-10 09:29:00,0.22,17940.0,United Kingdom
543549,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1296,2011-02-10 09:29:00,0.22,17940.0,United Kingdom
543669,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,2011-02-11 11:22:00,0.94,16029.0,United Kingdom
543842,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1056,2011-02-14 11:22:00,1.06,16333.0,United Kingdom
543991,16014,SMALL CHINESE STYLE SCISSOR,1500,2011-02-15 10:17:00,0.32,13848.0,United Kingdom
544152,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2400,2011-02-16 12:10:00,0.06,14609.0,United Kingdom
544612,22053,EMPIRE DESIGN ROSETTE,3906,2011-02-22 10:43:00,0.82,18087.0,United Kingdom
544793,72232,FENG SHUI PILLAR CANDLE,1152,2011-02-23 12:41:00,0.19,13694.0,United Kingdom
545644,22440,BALLOON WATER BOMB PACK OF 35,1200,2011-03-04 12:37:00,0.36,16333.0,United Kingdom
545644,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,2011-03-04 12:37:00,0.21,16333.0,United Kingdom
546139,84988,?,3000,2011-03-09 16:35:00,0.0,,United Kingdom
546789,85099B,JUMBO BAG RED RETROSPOT,1200,2011-03-17 10:17:00,1.65,15769.0,United Kingdom
547037,22616,PACK OF 12 LONDON TISSUES ,1296,2011-03-20 10:37:00,0.25,14101.0,United Kingdom
547037,21967,PACK OF 12 SKULL TISSUES,2160,2011-03-20 10:37:00,0.25,14101.0,United Kingdom
548324,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,2011-03-30 13:01:00,0.17,13316.0,United Kingdom
548627,22440,BALLOON WATER BOMB PACK OF 35,1200,2011-04-01 12:19:00,0.36,16333.0,United Kingdom
548627,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,2011-04-01 12:19:00,0.21,16333.0,United Kingdom
548635,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,2011-04-01 12:27:00,0.21,16333.0,United Kingdom
549412,84212,"ASSORTED FLOWER COLOUR ""LEIS""",1200,2011-04-08 11:43:00,0.42,14258.0,United Kingdom
549925,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1056,2011-04-13 10:12:00,1.06,16333.0,United Kingdom
549926,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1728,2011-04-13 10:14:00,0.21,16333.0,United Kingdom
550460,47556B,did  a credit  and did not tick ret,1300,2011-04-18 13:18:00,0.0,,United Kingdom
550461,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-04-18 13:20:00,2.4,15749.0,United Kingdom
550461,47556B,TEA TIME TEA TOWELS ,1300,2011-04-18 13:20:00,2.1,15749.0,United Kingdom
550461,21175,GIN + TONIC DIET METAL SIGN,2000,2011-04-18 13:20:00,1.69,15749.0,United Kingdom
550461,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-04-18 13:20:00,2.1,15749.0,United Kingdom
550917,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1008,2011-04-21 13:40:00,0.21,17381.0,United Kingdom
551162,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1200,2011-04-26 15:45:00,0.21,12901.0,United Kingdom
551314,22440,BALLOON WATER BOMB PACK OF 35,1200,2011-04-27 15:07:00,0.36,16333.0,United Kingdom
551314,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,2011-04-27 15:07:00,0.21,16333.0,United Kingdom
552172,16014,SMALL CHINESE STYLE SCISSOR,2000,2011-05-06 13:03:00,0.32,16308.0,United Kingdom
552833,23167,SMALL CERAMIC TOP STORAGE JAR ,1350,2011-05-11 14:14:00,0.69,18133.0,United Kingdom
552883,21212,PACK OF 72 RETROSPOT CAKE CASES,1200,2011-05-12 10:13:00,0.42,14646.0,Netherlands
554272,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2700,2011-05-23 13:08:00,0.42,12901.0,United Kingdom
554550,47566B,incorrectly credited C550456 see 47,1300,2011-05-25 09:57:00,0.0,,United Kingdom
554868,22197,SMALL POPCORN HOLDER,4300,2011-05-27 10:52:00,0.72,13135.0,United Kingdom
555099,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,2011-05-31 13:39:00,0.21,16333.0,United Kingdom
556231,85123A,?,4000,2011-06-09 15:04:00,0.0,,United Kingdom
556267,16216,LETTER SHAPE PENCIL SHARPENER,1600,2011-06-09 19:33:00,0.06,13694.0,United Kingdom
556267,15034,PAPER POCKET TRAVELING FAN ,1200,2011-06-09 19:33:00,0.07,13694.0,United Kingdom
556484,22920,HERB MARKER BASIL,1515,2011-06-12 13:17:00,0.55,16938.0,United Kingdom
559047,15036,ASSORTED COLOURS SILK FAN,1200,2011-07-05 15:44:00,0.72,13082.0,United Kingdom
559255,84992,72 SWEETHEART FAIRY CAKE CASES,1440,2011-07-07 12:04:00,0.4,13027.0,United Kingdom
560040,23343,came coded as 20713,3100,2011-07-14 14:28:00,0.0,,United Kingdom
560599,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,3186,2011-07-19 17:04:00,0.06,14609.0,United Kingdom
561638,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,2011-07-28 14:54:00,0.17,15118.0,United Kingdom
561873,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,2011-07-31 11:48:00,0.17,13316.0,United Kingdom
561873,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,2011-07-31 11:48:00,0.17,13316.0,United Kingdom
562343,22616,PACK OF 12 LONDON TISSUES ,1008,2011-08-04 12:13:00,0.29,17381.0,United Kingdom
562439,22197,POPCORN HOLDER,1900,2011-08-04 18:06:00,0.72,12931.0,United Kingdom
562439,84879,ASSORTED COLOUR BIRD ORNAMENT,2880,2011-08-04 18:06:00,1.45,12931.0,United Kingdom
563616,21212,PACK OF 72 RETROSPOT CAKE CASES,1200,2011-08-18 09:39:00,0.4,13027.0,United Kingdom
564272,16014,SMALL CHINESE STYLE SCISSOR,2000,2011-08-24 10:52:00,0.32,16308.0,United Kingdom
565122,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,2011-09-01 11:48:00,0.17,13069.0,United Kingdom
565145,22492,MINI PAINT SET VINTAGE ,1152,2011-09-01 13:50:00,0.55,12415.0,Australia
567309,21787,RAIN PONCHO RETROSPOT,1788,2011-09-19 13:39:00,0.85,12901.0,United Kingdom
567423,23286,BLUE VINTAGE SPOT BEAKER,1878,2011-09-20 11:05:00,1.08,17450.0,United Kingdom
567423,23288,GREEN VINTAGE SPOT BEAKER,1944,2011-09-20 11:05:00,1.08,17450.0,United Kingdom
567423,23285,PINK VINTAGE SPOT BEAKER,1944,2011-09-20 11:05:00,1.08,17450.0,United Kingdom
567423,22969,HOMEMADE JAM SCENTED CANDLES,1428,2011-09-20 11:05:00,1.7,17450.0,United Kingdom
567423,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1412,2011-09-20 11:05:00,5.06,17450.0,United Kingdom
569085,21098,CHRISTMAS TOILET ROLL,1200,2011-09-30 11:57:00,1.06,17949.0,United Kingdom
569214,15034,PAPER POCKET TRAVELING FAN ,1200,2011-10-02 12:22:00,0.07,14533.0,United Kingdom
569492,21915,RED  HARMONICA IN BOX ,1540,2011-10-04 13:30:00,1.06,16333.0,United Kingdom
570094,20971,PINK BLUE FELT CRAFT TRINKET BOX,1296,2011-10-07 11:56:00,1.06,16029.0,United Kingdom
570097,20971,PINK BLUE FELT CRAFT TRINKET BOX,1296,2011-10-07 12:05:00,1.06,16029.0,United Kingdom
570557,20971,PINK BLUE FELT CRAFT TRINKET BOX,1296,2011-10-11 11:15:00,1.06,16029.0,United Kingdom
572052,22595,GINGHAM HEART DECORATION,1728,2011-10-20 12:26:00,0.72,14646.0,Netherlands
572670,22065,CHRISTMAS PUDDING TRINKET POT ,1200,2011-10-25 13:14:00,0.39,13685.0,United Kingdom
573003,23084,RABBIT NIGHT LIGHT,2400,2011-10-27 12:11:00,2.08,14646.0,Netherlands
573008,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4800,2011-10-27 12:26:00,0.21,12901.0,United Kingdom
573261,22197,POPCORN HOLDER,1992,2011-10-28 12:32:00,0.72,17949.0,United Kingdom
573995,16014,SMALL CHINESE STYLE SCISSOR,3000,2011-11-02 11:24:00,0.32,16308.0,United Kingdom
574294,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1020,2011-11-03 15:47:00,2.55,16333.0,United Kingdom
574294,21915,RED  HARMONICA IN BOX ,2100,2011-11-03 15:47:00,1.06,16333.0,United Kingdom
574941,22197,POPCORN HOLDER,1820,2011-11-07 17:42:00,1.95,,United Kingdom
575328,M,Manual,1200,2011-11-09 13:48:00,0.25,17857.0,United Kingdom
575335,84879,ASSORTED COLOUR BIRD ORNAMENT,1200,2011-11-09 13:56:00,1.45,12931.0,United Kingdom
576365,22197,POPCORN HOLDER,1130,2011-11-14 17:55:00,1.95,,United Kingdom
578060,M,Manual,1600,2011-11-22 15:22:00,0.25,17857.0,United Kingdom
578841,84826,ASSTD DESIGN 3D PAPER STICKERS,12540,2011-11-25 15:57:00,0.0,13256.0,United Kingdom
579498,23084,RABBIT NIGHT LIGHT,2040,2011-11-29 15:52:00,1.79,12798.0,Japan
579936,21787,RAIN PONCHO RETROSPOT,1200,2011-12-01 10:07:00,0.65,12901.0,United Kingdom
580243,21915,RED  HARMONICA IN BOX ,1120,2011-12-02 12:19:00,1.06,16333.0,United Kingdom
580363,23582,VINTAGE DOILY JUMBO BAG RED ,1500,2011-12-02 16:32:00,1.79,13868.0,United Kingdom
581115,22413,METAL SIGN TAKE IT OR LEAVE IT ,1404,2011-12-07 12:20:00,2.75,15195.0,United Kingdom
581175,23084,RABBIT NIGHT LIGHT,1440,2011-12-07 15:16:00,1.79,14646.0,Netherlands
581458,22197,POPCORN HOLDER,1500,2011-12-08 18:45:00,0.72,17949.0,United Kingdom
581459,22197,POPCORN HOLDER,1200,2011-12-08 18:46:00,0.72,17949.0,United Kingdom
581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2011-12-09 09:15:00,2.08,16446.0,United Kingdom
